gap_id,previous_timestamp,next_timestamp,delta_hours,missing_hourly_slot_count,first_missing_timestamp,last_missing_timestamp,previous_weekday,next_weekday,scope,structural_pattern,evidence_status,final_adjudication,notes_code
FCG0039,2026-02-25T23:00:00,2026-02-26T01:00:00,2,1,2026-02-26T00:00:00,2026-02-26T00:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0040,2026-02-26T23:00:00,2026-02-27T01:00:00,2,1,2026-02-27T00:00:00,2026-02-27T00:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0041,2026-02-27T23:00:00,2026-03-02T01:00:00,50,49,2026-02-28T00:00:00,2026-03-02T00:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0042,2026-03-02T23:00:00,2026-03-03T01:00:00,2,1,2026-03-03T00:00:00,2026-03-03T00:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0043,2026-03-03T23:00:00,2026-03-04T01:00:00,2,1,2026-03-04T00:00:00,2026-03-04T00:00:00,TUESDAY,WEDNESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0044,2026-03-04T23:00:00,2026-03-05T01:00:00,2,1,2026-03-05T00:00:00,2026-03-05T00:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0045,2026-03-05T23:00:00,2026-03-06T01:00:00,2,1,2026-03-06T00:00:00,2026-03-06T00:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0046,2026-03-06T23:00:00,2026-03-09T00:00:00,49,48,2026-03-07T00:00:00,2026-03-08T23:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0047,2026-03-09T22:00:00,2026-03-10T00:00:00,2,1,2026-03-09T23:00:00,2026-03-09T23:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0048,2026-03-10T22:00:00,2026-03-11T00:00:00,2,1,2026-03-10T23:00:00,2026-03-10T23:00:00,TUESDAY,WEDNESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0049,2026-03-11T22:00:00,2026-03-12T00:00:00,2,1,2026-03-11T23:00:00,2026-03-11T23:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0050,2026-03-12T22:00:00,2026-03-13T00:00:00,2,1,2026-03-12T23:00:00,2026-03-12T23:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0051,2026-03-13T22:00:00,2026-03-16T00:00:00,50,49,2026-03-13T23:00:00,2026-03-15T23:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0052,2026-03-16T22:00:00,2026-03-17T00:00:00,2,1,2026-03-16T23:00:00,2026-03-16T23:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
