===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05\logs\20260621.log =====
RS	0	18:38:03.523	Terminal	exit with code 0
PR	0	18:38:03.526	Network	'168886591': disconnected from XMGlobal-MT5 2
PN	0	18:38:03.633	Terminal	stopped with 0
FM	0	18:38:03.641	Terminal	shutdown with 0
LE	0	18:38:30.646	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H4_10000_validation\generated_tester.ini"
IO	0	18:38:30.757	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
DH	0	18:38:30.758	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 9 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
HJ	0	18:38:30.758	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
PF	0	18:38:30.758	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H4_10000_validation\generated_tester.ini
DP	0	18:38:39.337	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
PE	0	18:38:40.578	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
