===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05\logs\20260620.log =====
CS	0	00:41:24.802	ForexAiTrade (EURUSD,H1)	2024.12.10 14:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.806	ForexAiTrade (EURUSD,H1)	2024.12.10 15:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.811	ForexAiTrade (EURUSD,H1)	2024.12.10 16:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.818	ForexAiTrade (EURUSD,H1)	2024.12.10 17:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.826	ForexAiTrade (EURUSD,H1)	2024.12.10 18:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.832	ForexAiTrade (EURUSD,H1)	2024.12.10 19:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.836	ForexAiTrade (EURUSD,H1)	2024.12.10 20:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.839	ForexAiTrade (EURUSD,H1)	2024.12.10 21:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=18.0 reason=no strategy signal
CS	0	00:41:24.842	ForexAiTrade (EURUSD,H1)	2024.12.10 22:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.845	ForexAiTrade (EURUSD,H1)	2024.12.10 23:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=18.0 reason=no strategy signal
CS	0	00:41:24.850	ForexAiTrade (EURUSD,H1)	2024.12.11 00:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=unsafe spread=40.0 reason=unsafe regime: spread too wide
CS	0	00:41:24.851	ForexAiTrade (EURUSD,H1)	2024.12.11 01:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=20.0 reason=no strategy signal
CS	0	00:41:24.851	ForexAiTrade (EURUSD,H1)	2024.12.11 02:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=19.0 reason=no strategy signal
CS	0	00:41:24.852	ForexAiTrade (EURUSD,H1)	2024.12.11 03:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=breakout spread=19.0 reason=no strategy signal
CS	0	00:41:24.855	ForexAiTrade (EURUSD,H1)	2024.12.11 04:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=19.0 reason=no strategy signal
CS	0	00:41:24.856	ForexAiTrade (EURUSD,H1)	2024.12.11 05:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=18.0 reason=no strategy signal
CS	0	00:41:24.857	ForexAiTrade (EURUSD,H1)	2024.12.11 06:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=19.0 reason=no strategy signal
CS	0	00:41:24.859	ForexAiTrade (EURUSD,H1)	2024.12.11 07:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=18.0 reason=no strategy signal
CS	0	00:41:24.861	ForexAiTrade (EURUSD,H1)	2024.12.11 08:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=breakout spread=18.0 reason=no strategy signal
CS	0	00:41:24.862	ForexAiTrade (EURUSD,H1)	2024.12.11 09:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=unsafe spread=17.0 reason=unsafe regime: mixed or low-quality conditions
CS	0	00:41:24.870	ForexAiTrade (EURUSD,H1)	2024.12.11 10:00:00   Signal blocked: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=breakout direction=sell entry=0.00000 sl=1.05073 tp=1.04561 raw_lot=0.0000 normalized_lot=0.00 risk_money=0.00 actual_risk_money=0.00 reason=losing streak limit reached from deal history: 4
CS	0	00:41:24.874	ForexAiTrade (EURUSD,H1)	2024.12.11 11:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=breakout spread=17.0 reason=no strategy signal
CS	0	00:41:24.879	ForexAiTrade (EURUSD,H1)	2024.12.11 12:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=breakout spread=17.0 reason=no strategy signal
CS	0	00:41:24.883	ForexAiTrade (EURUSD,H1)	2024.12.11 13:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=18.0 reason=no strategy signal
CS	0	00:41:24.886	ForexAiTrade (EURUSD,H1)	2024.12.11 14:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=trend spread=17.0 reason=no strategy signal
CS	0	00:41:24.891	ForexAiTrade (EURUSD,H1)	2024.12.11 15:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=breakout spread=18.0 reason=no strategy signal
CS	0	00:41:24.902	ForexAiTrade (EURUSD,H1)	2024.12.11 16:00:00   No trade: actual=EURUSD canonical=EURUSD timeframe=PERIOD_H1 regime=breakout spread=17.0 reason=no strategy signal
