===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05\logs\20260621.log =====
LL	0	20:50:38.764	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 16:29:51
OO	0	20:50:39.654	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
FL	0	20:50:39.654	Network	'168886591': trading has been enabled - hedging mode
PF	0	20:50:40.188	Tester	automatical testing started
ES	0	20:50:40.709	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
ML	0	20:51:21.809	Tester	last test passed with result "successfully finished" in 0:00:39.524
GL	0	20:51:22.013	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
MK	0	20:51:24.406	Terminal	exit with code 0
QK	0	20:51:24.409	Network	'168886591': disconnected from XMGlobal-MT5 2
KF	0	20:51:24.536	Terminal	stopped with 0
RE	0	20:51:24.541	Terminal	shutdown with 0
PM	0	20:51:50.384	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_BASELINE_10000_validation\generated_tester.ini"
QF	0	20:51:50.427	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
MP	0	20:51:50.427	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
KD	0	20:51:50.427	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
FM	0	20:51:50.427	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_BASELINE_10000_validation\generated_tester.ini
GK	0	20:51:54.234	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
LQ	0	20:51:55.143	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
KP	0	20:51:55.143	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 16:50:37
OS	0	20:51:56.001	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
JS	0	20:51:56.001	Network	'168886591': trading has been enabled - hedging mode
CM	0	20:51:56.734	Tester	automatical testing started
NP	0	20:51:57.396	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.99 ms via 'VPS London Red 08' instead of 193.31 ms
HH	0	20:52:23.302	Tester	last test passed with result "successfully finished" in 0:00:24.087
FP	0	20:52:23.463	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
GG	0	20:52:26.102	Terminal	exit with code 0
DN	0	20:52:26.108	Network	'168886591': disconnected from XMGlobal-MT5 2
QJ	0	20:52:26.274	Terminal	stopped with 0
QQ	0	20:52:26.280	Terminal	shutdown with 0
ON	0	20:52:56.694	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_BASELINE_10000_out_of_sample\generated_tester.ini"
KM	0	20:52:56.754	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
HE	0	20:52:56.755	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
JI	0	20:52:56.755	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
IF	0	20:52:56.755	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_BASELINE_10000_out_of_sample\generated_tester.ini
NP	0	20:53:01.295	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
CD	0	20:53:02.032	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
GF	0	20:53:02.033	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 16:51:54
RD	0	20:53:03.035	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
CF	0	20:53:03.035	Network	'168886591': trading has been enabled - hedging mode
JP	0	20:53:03.711	Tester	automatical testing started
CK	0	20:53:04.221	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.99 ms via 'VPS London Red 08' instead of 193.31 ms
JE	0	20:53:15.513	Tester	last test passed with result "successfully finished" in 0:00:09.789
RE	0	20:53:15.667	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
IP	0	20:53:18.128	Terminal	exit with code 0
HE	0	20:53:18.131	Network	'168886591': disconnected from XMGlobal-MT5 2
PO	0	20:53:18.213	Terminal	stopped with 0
DN	0	20:53:18.218	Terminal	shutdown with 0
PI	0	20:53:48.716	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_NO_TRAILING_10000_train\generated_tester.ini"
RP	0	20:53:48.788	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
EI	0	20:53:48.789	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
CM	0	20:53:48.789	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
JF	0	20:53:48.789	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_NO_TRAILING_10000_train\generated_tester.ini
IL	0	20:53:53.604	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
CH	0	20:53:54.518	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
JK	0	20:53:54.518	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 16:53:01
IH	0	20:53:55.486	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
PJ	0	20:53:55.486	Network	'168886591': trading has been enabled - hedging mode
OD	0	20:53:56.248	Tester	automatical testing started
NO	0	20:53:56.935	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.99 ms via 'VPS London Red 08' instead of 193.31 ms
CQ	0	20:54:34.459	Tester	last test passed with result "successfully finished" in 0:00:35.542
DI	0	20:54:34.636	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
HL	0	20:54:37.444	Terminal	exit with code 0
II	0	20:54:37.448	Network	'168886591': disconnected from XMGlobal-MT5 2
LS	0	20:54:37.541	Terminal	stopped with 0
MJ	0	20:54:37.549	Terminal	shutdown with 0
FS	0	20:55:08.445	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_NO_TRAILING_10000_validation\generated_tester.ini"
MD	0	20:55:08.495	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
HR	0	20:55:08.496	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
JR	0	20:55:08.496	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
NS	0	20:55:08.496	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_NO_TRAILING_10000_validation\generated_tester.ini
RI	0	20:55:12.284	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
