average_duration_seconds,average_r,base_case_id,case_id,close_events,count,exit_classification,modify_events,net_profit,phase,run_id,symbol,timeframe,warnings
,,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_out_of_sample,62,0,OTHER_CLOSE,478,0,out_of_sample,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_out_of_sample,62,0,UNKNOWN,478,0,out_of_sample,run_20260621_214917,EURUSD,H1,
11841.181818,-1.004277,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_train,22,11,INITIAL_SL_LOSS,224,-94.43,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_train,22,0,BREAKEVEN_SL,224,0,train,run_20260621_214917,EURUSD,H1,
87110.1,0.522121,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_train,22,10,TRAILING_SL_PROFIT,224,39.22,train,run_20260621_214917,EURUSD,H1,
23320.0,1.841085,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_train,22,1,TP_HIT,224,14.25,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_train,22,0,OTHER_CLOSE,224,0,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_train,22,0,UNKNOWN,224,0,train,run_20260621_214917,EURUSD,H1,
33180.711111,-1.008708,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_validation,105,45,INITIAL_SL_LOSS,1228,-390.64,validation,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_validation,105,0,BREAKEVEN_SL,1228,0,validation,run_20260621_214917,EURUSD,H1,
67990.744186,0.524815,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_validation,105,43,TRAILING_SL_PROFIT,1228,188.61,validation,run_20260621_214917,EURUSD,H1,
29817.117647,1.802734,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_validation,105,17,TP_HIT,1228,263.41,validation,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_validation,105,0,OTHER_CLOSE,1228,0,validation,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_validation,105,0,UNKNOWN,1228,0,validation,run_20260621_214917,EURUSD,H1,
