annualized_return_informational_only,annualized_return_percent,annualized_return_warning,base_case_id,cagr_approx_percent,calmar_ratio,canonical_symbol,case_failed_gates,case_id,case_level_classification,consecutive_losses,deposit,execution_status,failed_gates,largest_loss,largest_win,max_drawdown,max_relative_drawdown_percent,monthly_return_estimate,net_profit,phase,phase_classification,profit_factor,relative_drawdown,research_classification,return_to_drawdown_ratio,risk_adjusted_classification,run_id,score,symbol,test_period_days,timeframe,total_trades
True,-0.2045,low_trade_count,EURUSD_M30_10000,-0.2045,-0.4648,EURUSD,validation_or_oos_not_positive_valid,EURUSD_M30_10000_validation,REJECTED,4,10000,PASS,insufficient_trades,-10.08,18.36,44.3,0.44,-0.017,-20.45,validation,INSUFFICIENT_TRADES,0.47,0.44,INSUFFICIENT_TRADES,-0.4648,NOT_VIABLE,run_20260621_183001,,EURUSD,365,M30,5
True,0.8862,short_test_period,EURUSD_H1_10000,0.8883,1.502,EURUSD,missing_train,EURUSD_H1_10000_out_of_sample,INCOMPLETE_PHASES,4,10000,PASS,,-10.25,19.32,59.65,0.59,0.0738,41.03,out_of_sample,VALID_RESULT,1.18,0.59,VALID_RESULT,0.6954,NOT_VIABLE,run_20260621_202843,49.88,EURUSD,169,H1,62
False,0.6138,,EURUSD_H1_10000,0.6138,0.9743,EURUSD,missing_train,EURUSD_H1_10000_validation,INCOMPLETE_PHASES,4,10000,PASS,,-10.45,20.4,63.21,0.63,0.0512,61.38,validation,VALID_RESULT,1.16,0.63,VALID_RESULT,0.9743,NOT_VIABLE,run_20260621_202843,69.83,EURUSD,365,H1,105
True,0.8862,short_test_period,EURUSD_H1_EXIT_BASELINE_10000,0.8883,1.502,EURUSD,train_negative_or_insufficient,EURUSD_H1_EXIT_BASELINE_10000_out_of_sample,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.25,19.32,59.65,0.59,0.0738,41.03,out_of_sample,VALID_RESULT,1.18,0.59,VALID_RESULT,0.6954,BELOW_FOREX_RISK_PREMIUM,run_20260621_205032,49.88,EURUSD,169,H1,62
True,-0.2045,low_trade_count,EURUSD_H1_EXIT_BASELINE_10000,-0.2047,-0.3466,EURUSD,train_negative_or_insufficient,EURUSD_H1_EXIT_BASELINE_10000_train,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,insufficient_trades,-9.42,14.25,59.16,0.59,-0.017,-40.96,train,INSUFFICIENT_TRADES,0.57,0.59,INSUFFICIENT_TRADES,-0.6942,BELOW_FOREX_RISK_PREMIUM,run_20260621_205032,,EURUSD,731,H1,22
False,0.6138,,EURUSD_H1_EXIT_BASELINE_10000,0.6138,0.9743,EURUSD,train_negative_or_insufficient,EURUSD_H1_EXIT_BASELINE_10000_validation,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.45,20.4,63.21,0.63,0.0512,61.38,validation,VALID_RESULT,1.16,0.63,VALID_RESULT,0.9743,BELOW_FOREX_RISK_PREMIUM,run_20260621_205032,69.83,EURUSD,365,H1,105
True,1.5732,"short_test_period,low_trade_count",EURUSD_H1_EXIT_NO_TRAILING_10000,1.5798,4.1399,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,REJECTED,4,10000,PASS,insufficient_trades,-10.7,18.83,38.72,0.38,0.1311,72.84,out_of_sample,INSUFFICIENT_TRADES,2.06,0.38,INSUFFICIENT_TRADES,1.9168,NOT_VIABLE,run_20260621_205032,,EURUSD,169,H1,17
True,-0.1141,low_trade_count,EURUSD_H1_EXIT_NO_TRAILING_10000,-0.1142,-0.2593,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_NO_TRAILING_10000_train,REJECTED,4,10000,PASS,insufficient_trades,-9.42,19.66,43.92,0.44,-0.0095,-22.85,train,INSUFFICIENT_TRADES,0.76,0.44,INSUFFICIENT_TRADES,-0.5193,NOT_VIABLE,run_20260621_205032,,EURUSD,731,H1,17
True,-0.0157,low_trade_count,EURUSD_H1_EXIT_NO_TRAILING_10000,-0.0157,-0.0392,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_NO_TRAILING_10000_validation,REJECTED,4,10000,PASS,insufficient_trades,-9.95,19.05,39.92,0.4,-0.0013,-1.57,validation,INSUFFICIENT_TRADES,0.98,0.4,INSUFFICIENT_TRADES,-0.0392,NOT_VIABLE,run_20260621_205032,,EURUSD,365,H1,11
True,2.1021,"short_test_period,low_trade_count",EURUSD_H1_EXIT_TRAILING_LOOSER_10000,2.114,5.2552,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,REJECTED,4,10000,PASS,,-10.25,19.72,41.05,0.4,0.1752,97.33,out_of_sample,VALID_RESULT,1.86,0.4,VALID_RESULT,2.4333,NOT_VIABLE,run_20260621_205032,113.93,EURUSD,169,H1,33
